index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,40,50,0,0,960,40
1,25,85,20,613,853,40
2,22,75,30,92,332,40
3,22,85,10,411,651,40
4,20,80,40,584,824,40
5,20,85,20,40,280,40
6,18,75,20,328,568,40
7,15,75,20,240,480,40
8,15,80,10,307,547,40
9,10,35,20,311,551,40
10,10,40,30,459,699,40
11,8,40,40,135,375,40
12,8,45,20,163,403,40
13,5,35,10,593,833,40
14,5,45,10,35,275,40
15,2,40,20,114,354,40
16,0,40,20,195,435,40
17,0,45,20,643,883,40
18,44,5,20,275,515,40
19,42,10,40,194,434,40
20,42,15,10,477,717,40
21,40,5,10,155,395,40
22,40,15,40,315,555,40
23,38,5,30,141,381,40
24,38,15,10,621,861,40
25,35,5,20,664,904,40
26,95,30,30,469,709,40
27,95,35,20,86,326,40
28,92,30,10,89,329,40
29,90,35,10,134,374,40
30,88,30,10,186,426,40
31,88,35,20,105,345,40
32,87,30,10,561,801,40
33,85,25,10,51,291,40
34,85,35,30,427,667,40
35,67,85,20,597,837,40
36,65,85,40,43,283,40
37,65,82,10,497,737,40
38,62,80,30,218,458,40
39,60,80,10,36,276,40
40,60,85,30,269,509,40
41,58,75,20,316,556,40
42,55,80,10,33,273,40
43,55,85,20,514,754,40
44,55,82,10,157,397,40
45,20,82,10,37,277,40
46,18,80,10,429,669,40
47,2,45,10,45,285,40
48,42,5,10,664,904,40
49,42,12,10,380,620,40
50,72,35,30,447,687,40
51,55,20,19,266,506,40
52,25,30,3,115,355,40
53,20,50,5,315,555,40
54,55,60,16,541,781,40
55,30,60,16,539,779,40
56,50,35,19,497,737,40
57,30,25,23,337,577,40
58,15,10,20,662,902,40
59,10,20,19,42,282,40
60,15,60,17,634,874,40
61,45,65,9,198,438,40
62,65,35,3,107,347,40
63,65,20,6,39,279,40
64,45,30,17,131,371,40
65,35,40,16,11,251,40
66,41,37,16,506,746,40
67,64,42,9,208,448,40
68,40,60,21,552,792,40
69,31,52,27,97,337,40
70,35,69,23,690,930,40
71,65,55,14,181,421,40
72,63,65,8,27,267,40
73,2,60,5,226,466,40
74,20,20,8,585,825,40
75,5,5,16,172,412,40
76,60,12,31,208,448,40
77,23,3,7,660,900,40
78,8,56,27,305,545,40
79,6,68,30,292,532,40
80,47,47,13,702,942,40
81,49,58,10,295,535,40
82,27,43,9,92,332,40
83,37,31,14,45,285,40
84,57,29,18,335,575,40
85,63,23,2,284,524,40
86,21,24,28,289,529,40
87,12,24,13,299,539,40
88,24,58,19,200,440,40
89,67,5,25,653,893,40
90,37,47,6,299,539,40
91,49,42,13,659,899,40
92,53,43,14,14,254,40
93,61,52,3,688,928,40
94,57,48,23,332,572,40
95,56,37,6,40,280,40
96,55,54,26,502,742,40
97,4,18,35,487,727,40
98,26,52,9,112,352,40
99,26,35,15,248,488,40
100,31,67,3,690,930,40
