index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand,service_time
0,40,50,0,0,1236,50,0
1,45,68,10,850,1030,50,90
2,45,70,30,758,938,50,90
3,42,66,10,16,196,50,90
4,42,68,10,665,845,50,90
5,42,65,10,15,195,50,90
6,40,69,20,572,752,50,90
7,40,66,20,108,288,50,90
8,38,68,20,200,380,50,90
9,38,70,10,480,660,50,90
10,35,66,10,294,474,50,90
11,35,69,10,387,567,50,90
12,25,85,20,597,777,50,90
13,22,75,30,30,210,50,90
14,22,85,10,504,684,50,90
15,20,80,40,317,497,50,90
16,20,85,40,412,592,50,90
17,18,75,20,34,214,50,90
18,15,75,20,127,307,50,90
19,15,80,10,222,402,50,90
20,30,50,10,10,190,50,90
21,30,52,20,850,1030,50,90
22,28,52,20,758,938,50,90
23,28,55,10,665,845,50,90
24,25,50,10,15,195,50,90
25,25,52,40,107,287,50,90
26,25,55,10,572,752,50,90
27,23,52,10,199,379,50,90
28,23,55,20,480,660,50,90
29,20,50,10,292,472,50,90
30,20,55,10,387,567,50,90
31,10,35,20,129,309,50,90
32,10,40,30,31,211,50,90
33,8,40,40,33,213,50,90
34,8,45,20,694,874,50,90
35,5,35,10,224,404,50,90
36,5,45,10,601,781,50,90
37,2,40,20,319,499,50,90
38,0,40,30,411,591,50,90
39,0,45,20,506,686,50,90
40,35,30,10,203,383,50,90
41,35,32,10,111,291,50,90
42,33,32,20,19,199,50,90
43,33,35,10,16,196,50,90
44,32,30,10,296,476,50,90
45,30,30,10,481,661,50,90
46,30,32,30,389,569,50,90
47,30,35,10,947,1127,50,90
48,28,30,10,573,753,50,90
49,28,35,10,944,1124,50,90
50,26,32,10,758,938,50,90
51,25,30,10,666,846,50,90
52,25,35,10,851,1031,50,90
53,44,5,20,227,407,50,90
54,42,10,40,132,312,50,90
55,42,15,10,37,217,50,90
56,40,5,30,321,501,50,90
57,40,15,40,35,215,50,90
58,38,5,30,413,593,50,90
59,38,15,10,606,786,50,90
60,35,5,20,506,686,50,90
61,50,30,10,481,661,50,90
62,50,35,20,200,380,50,90
63,50,40,50,105,285,50,90
64,48,30,10,573,753,50,90
65,48,40,10,13,193,50,90
66,47,35,10,761,941,50,90
67,47,40,10,12,192,50,90
68,45,30,10,666,846,50,90
69,45,35,10,853,1033,50,90
70,95,30,30,332,512,50,90
71,95,35,20,237,417,50,90
72,53,30,10,388,568,50,90
73,92,30,10,425,605,50,90
74,53,35,50,293,473,50,90
75,45,65,20,943,1123,50,90
76,90,35,10,142,322,50,90
77,88,30,10,519,699,50,90
78,88,35,20,50,230,50,90
79,87,30,10,610,790,50,90
80,85,25,10,705,885,50,90
81,85,35,30,47,227,50,90
82,75,55,20,305,485,50,90
83,72,55,10,212,392,50,90
84,70,58,20,401,581,50,90
85,68,60,30,494,674,50,90
86,66,55,10,116,296,50,90
87,65,55,20,25,205,50,90
88,65,60,30,587,767,50,90
89,63,58,10,680,860,50,90
90,60,55,10,20,200,50,90
91,60,60,10,773,953,50,90
92,67,85,20,315,495,50,90
93,65,85,40,407,587,50,90
94,65,82,10,221,401,50,90
95,62,80,30,128,308,50,90
96,60,80,10,36,216,50,90
97,60,85,30,502,682,50,90
98,58,75,20,30,210,50,90
99,55,80,10,692,872,50,90
100,55,85,20,597,777,50,90
