index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,230,41
1,41,49,10,130,201,41
2,35,17,7,20,89,41
3,55,45,13,106,135,41
4,55,20,19,71,195,41
5,15,30,26,20,107,41
6,25,30,3,54,153,41
7,20,50,5,66,105,41
8,10,43,9,61,138,41
9,55,60,16,53,150,41
10,30,60,16,101,156,41
11,20,65,12,33,152,41
12,50,35,19,38,97,41
13,30,25,23,70,208,41
14,15,10,20,32,137,41
15,30,5,8,30,154,41
16,10,20,19,54,105,41
17,5,30,2,51,189,41
18,20,40,12,77,106,41
19,15,60,17,53,108,41
20,45,65,9,109,152,41
21,45,20,11,37,96,41
22,45,10,18,59,144,41
23,55,5,29,36,155,41
24,65,35,3,118,190,41
25,65,20,6,47,186,41
26,45,30,17,117,156,41
27,35,40,16,5,156,41
28,41,37,16,8,79,41
29,64,42,9,37,98,41
30,40,60,21,28,123,41
31,31,52,27,24,85,41
32,35,69,23,116,175,41
33,53,52,11,24,179,41
34,65,55,14,100,143,41
35,63,65,8,50,178,41
36,2,60,5,41,178,41
37,20,20,8,117,160,41
38,5,5,16,42,145,41
39,60,12,31,33,186,41
40,40,25,9,51,128,41
41,42,7,5,44,159,41
42,24,12,5,25,172,41
43,23,3,7,115,158,41
44,11,14,18,31,138,41
45,6,38,16,29,189,41
46,2,48,1,93,150,41
47,8,56,27,34,116,41
48,13,52,36,125,192,41
49,6,68,30,93,132,41
50,47,47,13,105,152,41
51,49,58,10,66,119,41
52,27,43,9,25,88,41
53,37,31,14,62,137,41
54,57,29,18,121,168,41
55,63,23,2,70,189,41
56,53,12,6,81,188,41
57,32,12,7,78,133,41
58,36,26,18,79,210,41
59,21,24,28,17,123,41
60,17,34,3,130,201,41
61,12,24,13,59,102,41
62,24,58,19,25,164,41
63,27,69,10,34,112,41
64,15,77,9,46,165,41
65,62,77,20,49,170,41
66,49,73,25,77,179,41
67,67,5,25,43,150,41
68,56,39,36,82,198,41
69,37,47,6,12,142,41
70,37,56,5,21,198,41
71,57,68,15,57,106,41
72,47,16,25,22,110,41
73,44,17,9,60,105,41
74,46,13,8,73,195,41
75,49,11,18,46,101,41
76,49,42,13,36,119,41
77,53,43,14,65,200,41
78,61,52,3,43,158,41
79,57,48,23,58,135,41
80,56,37,6,69,198,41
81,55,54,26,87,110,41
82,15,47,16,28,91,41
83,14,37,11,21,97,41
84,11,31,7,68,143,41
85,16,22,41,74,117,41
86,4,18,35,79,118,41
87,28,18,26,84,111,41
88,26,52,9,24,133,41
89,26,35,15,128,211,41
90,31,67,3,76,123,41
91,15,19,1,130,194,41
92,22,22,2,18,181,41
93,18,24,22,41,199,41
94,26,27,27,88,121,41
95,25,24,20,14,83,41
96,22,27,11,119,160,41
97,25,21,12,122,153,41
98,19,21,10,32,93,41
99,20,26,9,38,137,41
100,18,18,17,28,195,41
