index,coordenadas_X,coordenadas_Y,demandas,minTW,maxTW,maxDemand
0,35,35,0,0,230,41
1,41,49,10,133,198,41
2,35,17,7,22,87,41
3,55,45,13,98,143,41
4,55,20,19,123,184,41
5,15,30,26,20,93,41
6,25,30,3,76,131,41
7,20,50,5,61,110,41
8,10,43,9,75,124,41
9,55,60,16,74,129,41
10,30,60,16,107,150,41
11,20,65,12,42,101,41
12,50,35,19,38,97,41
13,30,25,23,131,196,41
14,15,10,20,32,114,41
15,30,5,8,35,96,41
16,10,20,19,52,107,41
17,5,30,2,124,189,41
18,20,40,12,69,114,41
19,15,60,17,52,109,41
20,45,65,9,105,156,41
21,45,20,11,37,96,41
22,45,10,18,76,127,41
23,55,5,29,43,102,41
24,65,35,3,124,190,41
25,65,20,6,121,186,41
26,45,30,17,112,161,41
27,35,40,16,8,75,41
28,41,37,16,11,76,41
29,64,42,9,37,98,41
30,40,60,21,49,102,41
31,31,52,27,24,85,41
32,35,69,23,116,175,41
33,53,52,11,24,92,41
34,65,55,14,96,147,41
35,63,65,8,116,178,41
36,2,60,5,41,112,41
37,20,20,8,113,164,41
38,5,5,16,60,115,41
39,60,12,31,33,110,41
40,40,25,9,65,114,41
41,42,7,5,72,131,41
42,24,12,5,25,91,41
43,23,3,7,111,162,41
44,11,14,18,45,102,41
45,6,38,16,29,99,41
46,2,48,1,92,151,41
47,8,56,27,34,105,41
48,13,52,36,128,192,41
49,6,68,30,93,132,41
50,47,47,13,102,155,41
51,49,58,10,64,121,41
52,27,43,9,26,87,41
53,37,31,14,75,124,41
54,57,29,18,118,171,41
55,63,23,2,111,170,41
56,53,12,6,106,163,41
57,32,12,7,77,134,41
58,36,26,18,147,210,41
59,21,24,28,17,100,41
60,17,34,3,134,199,41
61,12,24,13,55,106,41
62,24,58,19,30,95,41
63,27,69,10,34,103,41
64,15,77,9,48,107,41
65,62,77,20,49,113,41
66,49,73,25,104,159,41
67,67,5,25,59,116,41
68,56,39,36,117,176,41
69,37,47,6,23,86,41
70,37,56,5,123,198,41
71,57,68,15,54,109,41
72,47,16,25,22,96,41
73,44,17,9,56,109,41
74,46,13,8,123,184,41
75,49,11,18,45,102,41
76,49,42,13,52,103,41
77,53,43,14,136,200,41
78,61,52,3,71,130,41
79,57,48,23,72,121,41
80,56,37,6,135,198,41
81,55,54,26,78,119,41
82,15,47,16,29,90,41
83,14,37,11,21,89,41
84,11,31,7,81,130,41
85,16,22,41,70,121,41
86,4,18,35,74,123,41
87,28,18,26,79,116,41
88,26,52,9,50,107,41
89,26,35,15,139,211,41
90,31,67,3,73,126,41
91,15,19,1,132,194,41
92,22,22,2,18,88,41
93,18,24,22,129,199,41
94,26,27,27,81,128,41
95,25,24,20,14,78,41
96,22,27,11,114,165,41
97,25,21,12,115,160,41
98,19,21,10,32,93,41
99,20,26,9,60,115,41
100,18,18,17,123,195,41
