ID,Run number,Action Space Size,Algorithm,Time Windows,No. Nodes,Distance,No. Vehicles
PPO_5A_25N_TW_1,1,5,PPO,TW,25,130.08,3.0
PPO_5A_25N_TW_2,2,5,PPO,TW,25,126.81,3.0
PPO_5A_25N_TW_3,3,5,PPO,TW,25,125.79,3.0
PPO_5A_25N_TW_4,4,5,PPO,TW,25,125.42,3.0
PPO_5A_25N_TW_5,5,5,PPO,TW,25,133.48,3.0
PPO_10A_25N_TW_1,1,10,PPO,TW,25,135.42,4.0
PPO_10A_25N_TW_2,2,10,PPO,TW,25,132.03,3.0
PPO_10A_25N_TW_3,3,10,PPO,TW,25,128.1,3.0
PPO_10A_25N_TW_4,4,10,PPO,TW,25,128.37,3.0
PPO_10A_25N_TW_5,5,10,PPO,TW,25,143.04,3.0
PPO_15A_25N_TW_1,1,15,PPO,TW,25,125.25,3.0
PPO_15A_25N_TW_2,2,15,PPO,TW,25,125.79,3.0
PPO_15A_25N_TW_3,3,15,PPO,TW,25,131.62,4.0
PPO_15A_25N_TW_4,4,15,PPO,TW,25,133.49,3.0
PPO_15A_25N_TW_5,5,15,PPO,TW,25,135.06,3.0
PPO_25A_25N_TW_1,1,25,PPO,TW,25,125.79,3.0
PPO_25A_25N_TW_2,2,25,PPO,TW,25,135.06,3.0
PPO_25A_25N_TW_3,3,25,PPO,TW,25,128.1,3.0
PPO_25A_25N_TW_4,4,25,PPO,TW,25,131.28,3.0
PPO_25A_25N_TW_5,5,25,PPO,TW,25,131.45,3.0
PPO_50A_25N_TW_1,1,50,PPO,TW,25,,
PPO_50A_25N_TW_2,2,50,PPO,TW,25,,
PPO_50A_25N_TW_3,3,50,PPO,TW,25,,
PPO_50A_25N_TW_4,4,50,PPO,TW,25,,
PPO_50A_25N_TW_5,5,50,PPO,TW,25,,
PPO_5A_50N_TW_1,1,5,PPO,TW,50,305.37,6.0
PPO_5A_50N_TW_2,2,5,PPO,TW,50,310.31,6.0
PPO_5A_50N_TW_3,3,5,PPO,TW,50,280.94,6.0
PPO_5A_50N_TW_4,4,5,PPO,TW,50,302.82,5.0
PPO_5A_50N_TW_5,5,5,PPO,TW,50,326.49,7.0
PPO_10A_50N_TW_1,1,10,PPO,TW,50,297.64,5.0
PPO_10A_50N_TW_2,2,10,PPO,TW,50,399.45,8.0
PPO_10A_50N_TW_3,3,10,PPO,TW,50,360.18,6.0
PPO_10A_50N_TW_4,4,10,PPO,TW,50,282.98,6.0
PPO_10A_50N_TW_5,5,10,PPO,TW,50,355.01,8.0
PPO_15A_50N_TW_1,1,15,PPO,TW,50,311.07,7.0
PPO_15A_50N_TW_2,2,15,PPO,TW,50,294.49,7.0
PPO_15A_50N_TW_3,3,15,PPO,TW,50,301.19,7.0
PPO_15A_50N_TW_4,4,15,PPO,TW,50,445.38,10.0
PPO_15A_50N_TW_5,5,15,PPO,TW,50,289.72,6.0
PPO_25A_50N_TW_1,1,25,PPO,TW,50,290.72,5.0
PPO_25A_50N_TW_2,2,25,PPO,TW,50,306.6,7.0
PPO_25A_50N_TW_3,3,25,PPO,TW,50,303.55,7.0
PPO_25A_50N_TW_4,4,25,PPO,TW,50,303.91,7.0
